Date,Not indexed,Indexed,Impressions
2025-10-12,,,16749
2025-10-13,178,237,17177
2025-10-14,268,244,17784
2025-10-15,268,244,17120
2025-10-16,268,244,16724
2025-10-17,268,244,16964
2025-10-18,267,253,18548
2025-10-19,267,253,19531
2025-10-20,267,253,19069
2025-10-21,283,253,18972
2025-10-22,283,253,19398
2025-10-23,283,253,16177
2025-10-24,283,253,15040
2025-10-25,245,241,16835
2025-10-26,245,241,19146
2025-10-27,245,241,18897
2025-10-28,203,279,18896
2025-10-29,203,279,18828
2025-10-30,203,279,15312
2025-10-31,203,279,15552
2025-11-01,397,297,13394
2025-11-02,397,297,10702
2025-11-03,397,297,9387
2025-11-04,377,388,10985
2025-11-05,377,388,10394
2025-11-06,377,388,13800
2025-11-07,377,388,15003
2025-11-08,469,403,17050
2025-11-09,469,403,18435
2025-11-10,469,403,18601
2025-11-11,634,354,18955
2025-11-12,634,354,17202
2025-11-13,634,354,15496
2025-11-14,634,354,14731
2025-11-15,688,332,15918
2025-11-16,688,332,17879
2025-11-17,688,332,17544
2025-11-18,697,325,18363
2025-11-19,697,325,18645
2025-11-20,697,325,18098
2025-11-21,697,325,16888
2025-11-22,973,189,19294
2025-11-23,973,189,21389
2025-11-24,973,189,20379
2025-11-25,973,189,19440
2025-11-26,973,189,18224
2025-11-27,973,189,16925
2025-11-28,973,189,17429
2025-11-29,973,189,21010
2025-11-30,973,189,21387
2025-12-01,973,189,20753
2025-12-02,973,189,19124
2025-12-03,973,189,16735
2025-12-04,973,189,13666
2025-12-05,973,189,9812
2025-12-06,973,189,7023
2025-12-07,973,189,5854
2025-12-08,973,189,4924
2025-12-09,973,189,4146
2025-12-10,973,189,3545
2025-12-11,973,189,3008
2025-12-12,973,189,2844
2025-12-13,973,189,2724
2025-12-14,973,189,3194
2025-12-15,919,255,2693
2025-12-16,919,255,2617
2025-12-17,919,255,4510
2025-12-18,919,255,6898
2025-12-19,919,255,6835
2025-12-20,919,255,9411
2025-12-21,919,255,8646
2025-12-22,919,255,6751
2025-12-23,959,209,5298
2025-12-24,959,209,6645
2025-12-25,959,209,8567
2025-12-26,959,209,7687
2025-12-27,959,209,7383
2025-12-28,959,209,6710
2025-12-29,959,209,5746
2025-12-30,959,209,4243
2025-12-31,959,209,3729
2026-01-01,959,209,3735
2026-01-02,959,209,2796
2026-01-03,950,204,2774
2026-01-04,950,204,2695
2026-01-05,950,204,2695
